# N u(x=0.25) u(x=0.5)
1 -0.0785674 0.111111
2 -0.106852 0.151111
3 -0.0924209 0.171519
4 -0.0836912 0.183865
5 -0.0895351 0.192129
6 -0.0937191 0.198047
7 -0.0905765 0.202491
8 -0.0881297 0.205951
9 -0.0900885 0.208721
10 -0.0916919 0.210989
11 -0.0903552 0.212879
12 -0.0892238 0.214479
13 -0.0901938 0.215851
14 -0.0910346 0.21704
15 -0.0902988 0.218081
16 -0.0896495 0.218999
17 -0.0902267 0.219815
18 -0.0907432 0.220546
19 -0.0902783 0.221203
20 -0.0898577 0.221798
21 -0.0902401 0.222339
22 -0.0905893 0.222833
23 -0.0902692 0.223285
24 -0.0899747 0.223702
25 -0.0902465 0.224086
26 -0.0904983 0.224442
27 -0.0902645 0.224773
28 -0.0900469 0.225081
29 -0.09025 0.225368
30 -0.09044 0.225637
31 -0.0902619 0.225889
32 -0.0900945 0.226125
33 -0.090252 0.226348
34 -0.0904006 0.226558
35 -0.0902603 0.226757
36 -0.0901276 0.226944
37 -0.0902533 0.227122
38 -0.0903726 0.227291
39 -0.0902593 0.227451
40 -0.0901515 0.227603
41 -0.0902541 0.227748
42 -0.090352 0.227887
43 -0.0902586 0.228019
44 -0.0901693 0.228145
45 -0.0902547 0.228266
46 -0.0903365 0.228382
47 -0.0902581 0.228492
48 -0.0901829 0.228599
49 -0.0902551 0.228701
50 -0.0903244 0.228799
51 -0.0902578 0.228893
52 -0.0901936 0.228984
53 -0.0902554 0.229071
54 -0.0903149 0.229155
55 -0.0902575 0.229236
56 -0.0902021 0.229315
57 -0.0902556 0.22939
58 -0.0903073 0.229463
59 -0.0902573 0.229534
60 -0.090209 0.229602
61 -0.0902558 0.229668
62 -0.090301 0.229732
63 -0.0902572 0.229794
64 -0.0902147 0.229854
65 -0.0902559 0.229913
66 -0.0902959 0.229969
67 -0.0902571 0.230024
68 -0.0902194 0.230077
69 -0.090256 0.230129
70 -0.0902916 0.230179
71 -0.090257 0.230228
72 -0.0902233 0.230276
73 -0.0902561 0.230322
74 -0.0902879 0.230367
75 -0.0902569 0.230411
76 -0.0902267 0.230454
77 -0.0902561 0.230495
78 -0.0902848 0.230536
79 -0.0902569 0.230576
80 -0.0902296 0.230614
81 -0.0902562 0.230652
82 -0.0902822 0.230689
83 -0.0902568 0.230724
84 -0.090232 0.230759
85 -0.0902562 0.230794
86 -0.0902799 0.230827
87 -0.0902568 0.23086
88 -0.0902342 0.230892
89 -0.0902563 0.230923
90 -0.0902778 0.230953
91 -0.0902567 0.230983
92 -0.0902361 0.231012
93 -0.0902563 0.231041
